iter	Passed	Remaining
1168	128387	640401
1169	128588	640744
1170	128745	640866
1171	128842	640696
1172	129006	640852
1173	129302	641667
1174	129400	641494
1175	129497	641318
1176	129593	641139
1177	129700	641014
1178	129799	640852
1179	129899	640691
1180	129999	640532
1181	130103	640389
1182	130213	640280
1183	130306	640088
1184	130407	639933
1185	130508	639776
1186	130605	639601
1187	130715	639493
1188	130816	639341
1189	130922	639212
1190	131054	639206
1191	131152	639036
1192	131253	638885
1193	131373	638824
1194	131546	639016
1195	131668	638968
1196	131767	638800
1197	131867	638645
1198	131974	638517
1199	132071	638346
1200	132165	638157
1201	132273	638038
1202	132370	637863
1203	132470	637704
1204	132577	637584
1205	132673	637406
1206	132777	637264
1207	132872	637082
1208	132983	636979
1209	133077	636793
1210	133179	636645
1211	133280	636489
1212	133377	636321
1213	133482	636185
1214	133590	636068
1215	133718	636042
1216	133883	636194
1217	133985	636047
1218	134081	635868
1219	134221	635903
1220	134321	635744
1221	134433	635643
1222	134525	635447
1223	134628	635307
1224	134744	635222
1225	134847	635079
1226	134949	634931
1227	135059	634824
1228	135159	634668
1229	135267	634549
1230	135370	634405
1231	135467	634231
1232	135569	634087
1233	135665	633913
1234	135773	633791
1235	135869	633615
1236	135971	633469
1237	136125	633564
1238	136225	633408
1239	136330	633275
1240	136433	633135
1241	136534	632982
1242	136667	632981
1243	136773	632853
1244	136897	632806
1245	136989	632616
1246	137112	632563
1247	137211	632405
1248	137318	632280
1249	137422	632142
1250	137523	631990
1251	137624	631842
1252	137732	631724
1253	137832	631567
1254	137938	631437
1255	138035	631270
1256	138139	631134
1257	138234	630954
1258	138373	630979
1259	138491	630906
1260	138589	630741
1261	138704	630654
1262	138909	630976
1263	139057	631040
1264	139155	630874
1265	139280	630832
1266	139387	630711
1267	139487	630554
1268	139601	630463
1269	139694	630275
1270	139793	630115
1271	139895	629970
1272	139994	629810
1273	140091	629640
1274	140193	629497
1275	140291	629331
1276	140397	629205
1277	140515	629131
1278	140702	629365
1279	140833	629348
1280	140934	629198
1281	141036	629052
1282	141140	628917
1283	141254	628825
1284	141358	628689
1285	141462	628552
1286	141568	628421
1287	141671	628281
1288	141776	628150
1289	141879	628007
1290	141978	627852
1291	142081	627709
1292	142223	627741
1293	142324	627592
1294	142452	627559
1295	142544	627370
1296	142666	627313
1297	142772	627184
1298	142869	627022
1299	143033	627145
1300	143155	627091
1301	143258	626950
1302	143353	626772
1303	143461	626652
1304	143555	626475
1305	143655	626321
1306	143764	626204
1307	143914	626268
1308	144018	626133
1309	144119	625985
1310	144231	625883
1311	144350	625811
1312	144462	625711
1313	144561	625552
1314	144673	625450
1315	144782	625335
1316	144884	625191
1317	144987	625054
1318	145091	624916
1319	145192	624768
1320	145349	624861
1321	145462	624761
1322	145564	624616
1323	145666	624472
1324	145770	624336
